127.0.0.1 - - [17/Mar/2024:11:50:13 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:50:16 +0630] "GET /ConvenienceManagementSystem/ HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:50:57 +0630] "POST /ConvenienceManagementSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:50:57 +0630] "GET /ConvenienceManagementSystem/owner HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:51:03 +0630] "GET /ConvenienceManagementSystem/users/ HTTP/1.1" 200 89587
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:51:17 +0630] "GET /ConvenienceManagementSystem/users/edit/7 HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:51:53 +0630] "POST /ConvenienceManagementSystem/users/edit HTTP/1.1" 200 6719
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:51:55 +0630] "GET /ConvenienceManagementSystem/users/ HTTP/1.1" 200 360869
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:06 +0630] "GET /ConvenienceManagementSystem/logout/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:06 +0630] "GET /ConvenienceManagementSystem/ HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:12 +0630] "POST /ConvenienceManagementSystem/login HTTP/1.1" 200 4109
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:29 +0630] "GET /ConvenienceManagementSystem/logout/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:29 +0630] "GET /ConvenienceManagementSystem/ HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:34 +0630] "POST /ConvenienceManagementSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:34 +0630] "GET /ConvenienceManagementSystem/owner HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:38 +0630] "GET /ConvenienceManagementSystem/products/ HTTP/1.1" 200 2594502
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:41 +0630] "GET /ConvenienceManagementSystem/users/ HTTP/1.1" 200 360869
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:52:49 +0630] "GET /ConvenienceManagementSystem/users/edit/7 HTTP/1.1" 200 6619
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:53:03 +0630] "POST /ConvenienceManagementSystem/users/edit HTTP/1.1" 200 6713
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:53:05 +0630] "GET /ConvenienceManagementSystem/users/ HTTP/1.1" 200 236681
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:53:09 +0630] "GET /ConvenienceManagementSystem/logout/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:53:09 +0630] "GET /ConvenienceManagementSystem/ HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:53:21 +0630] "POST /ConvenienceManagementSystem/login HTTP/1.1" 200 4103
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:53:52 +0630] "GET /ConvenienceManagementSystem/productDetails HTTP/1.1" 200 23328
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:53:56 +0630] "GET /ConvenienceManagementSystem/viewproduct/ HTTP/1.1" 200 2549734
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:54:01 +0630] "GET /ConvenienceManagementSystem/categories/ HTTP/1.1" 200 7758
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:54:03 +0630] "GET /ConvenienceManagementSystem/salesreports HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:54:22 +0630] "GET /ConvenienceManagementSystem/logout/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2024:11:54:22 +0630] "GET /ConvenienceManagementSystem/ HTTP/1.1" 200 4376
