127.0.0.1 - - [02/Apr/2024:19:57:50 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Apr/2024:19:57:53 +0630] "GET /ConvenienceManagementSystem/ HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [02/Apr/2024:19:58:10 +0630] "POST /ConvenienceManagementSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:19:58:10 +0630] "GET /ConvenienceManagementSystem/owner HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [02/Apr/2024:19:58:10 +0630] "GET /ConvenienceManagementSystem/resources/css/style.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [02/Apr/2024:19:58:10 +0630] "GET /ConvenienceManagementSystem/resources/css/bootstrap.min.css HTTP/1.1" 200 279511
0:0:0:0:0:0:0:1 - - [02/Apr/2024:19:58:10 +0630] "GET /ConvenienceManagementSystem/resources/js/bootstrap.min.js HTTP/1.1" 200 60583
0:0:0:0:0:0:0:1 - - [02/Apr/2024:19:58:21 +0630] "GET /ConvenienceManagementSystem/resources/js/bootstrap.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Apr/2024:19:58:21 +0630] "GET /ConvenienceManagementSystem/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Apr/2024:19:58:32 +0630] "GET /ConvenienceManagementSystem/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
